num	id	nivell	moviment	lot	rev	descripcio
032	q54	2	invariant	3	0	rectangle i paral·lelogram, mateix tall a cada alçada
033	q55	3	cas-limit	3	0	escala: la suma dels trams no s'acosta a la diagonal
034	q01	2	centre-per-simetria	4	0	medianes triangle equilàter, coincidència
035	q02	1	redueix-al-conegut	4	0	subdivisió en 4 triangles congruents per punts mitjans
036	q70	1	redueix-al-conegut	4	0	suma angles polígon per triangulació des d'un vèrtex
037	q29	2	redueix-al-conegut	4	0	hexàgon i octàgon triangulats, diagonals i triangles
038	q06	2	redueix-al-conegut	4	0	heptàgon, angles iguals al vèrtex per angle inscrit
039	q11	1	dues-maneres	4	0	angles oposats paral·lelogram, diagonal auxiliar
040	q12	2	contraexemple	4	0	diagonals iguals en paral·lelogram força rectangle
041	q73	2	informacio-no-usada	4	0	triangle medial, reconstrucció des de punts mitjans
042	q38	2	identitat-com-a-figura	4	0	rectangle auri, quadrat retallat semblant
043	q76	2	separa-i-reorienta	4	0	cercle inscrit, suma de tres triangles amb l'incentre
044	q80	2	dues-maneres	4	0	àrea triangle = 1/2 ab sinC, altura amagada
045	q89	3	contraexemple	4	1	bisectrius iguals força isòsceles (Steiner-Lehmus)
046	q37	2	dues-maneres	4	0	rectangle mateixa àrea i perímetre que triangle equilàter
047	q39	2	redueix-al-conegut	4	0	àrea pentàgon regular, 5 triangles des del centre
048	q05	2	redueix-al-conegut	4	1	angle de puntes d'estrelles {5/2} i {8/3}
049	q18b	2	invariant	4	0	dilatació de sòlid, volum escala amb k³
050	q60	2	invariant	4	1	con inscrit en semiesfera, Cavalieri
051	q08a	2	construeix-per-definir	4	0	simetries del cub, eix vèrtex-a-vèrtex
052	q08b	3	contraexemple	4	1	els cinc poliedres regulars, angle al vèrtex <360°
053	q71	2	dues-maneres	4	0	quadrilàter amb 4 angles rectes, recíproc de q11/q12
054	q04	1	redueix-al-conegut	6	0	angle d'un poligon regular, n-2 triangles / n
055	q18a	1	redueix-al-conegut	6	0	volum d'una capsa, capes de cubs unitat
056	q19	1	identitat-com-a-figura	6	0	senar x senar = senar, graella 5x3
057	q20	1	identitat-com-a-figura	6	0	parell x parell divisible per 4, blocs 2x2
058	q27_implicit	2	dues-maneres	6	0	tres cercles tangents (triangle/quadrat/cercle)
059	q40_implicit	2	dues-maneres	6	0	quadrat inscrit i cadena de cercles+quadrat en cercle
060	q31	2	simetria-i-demostra	6	0	pentagon amb 3 diagonals, triangles A/B/C semblants
061	q32	3	dilatacio	6	0	pentagrama, mida del pentagon petit
062	q33	2	identitat-com-a-figura	6	0	dos pentagons compartint aresta, d^2=d+1
063	q07	2	invariant	6	0	pentagrama, gir total de 720 graus
064	q17	3	separa-i-reorienta	6	0	mitjana geometrica via semicercle de Tales
065	q21	2	definicio-i-absurd	6	0	arrel de 3 irracional, casos p mod 3
066	q24	2	redueix-al-conegut	6	0	triangle 3-4-5, Pitagores
067	q30	2	redueix-al-conegut	6	0	dodecagon triangulat des d'un vertex
068	q35	2	construeix-per-definir	6	0	suma i diferencia, segment partit
069	q03	3	recompte-o-induccio	6	0	mosaics, angles a un vertex sumant 360
070	q43	3	dues-maneres	7	0	dos cercles solapats, triangle equilater dels centres
071	q59	2	redueix-al-conegut	7	0	esfera inscrita en un cub
072	q62	2	redueix-al-conegut	7	0	casquet esferic, pla de tall a alcada h
073	q63	1	distingeix-casos	7	0	cilindre per translacio de cercle o rotacio de rectangle
074	q48	3	redueix-al-conegut	7	0	frustum, arestes prolongades fins al vertex comu
075	q50	2	cas-limit	7	0	con aproximat per discs apilats
076	q57	3	redueix-al-conegut	7	0	tetraedre i octaedre, piramides des del centre
077	q58	3	redueix-al-conegut	7	0	dos cilindres perpendiculars, seccio quadrada
078	q61	2	dues-maneres	7	0	esfera i el seu cilindre tancat circumscrit
079	q64	2	cas-limit	7	0	baston lliscant, envolupant astroide
080	q65	3	construeix-per-definir	7	0	rectangle girat al voltant d'un costat, centroide
081	q67	2	construeix-per-definir	7	0	segment girat, centroide de perimetre
082	q66	2	redueix-al-conegut	7	0	rectangle no tocant l'eix, tub per Pappus
083	q68	2	dues-maneres	7	0	triangle rectangle girat, centroide del con
